sphere,code,method,equalMethods,samplingType,so_short_name,so,soBundles,protocol,measurementInterval,measurementIntervalUnit,measurementsPerYear,sensorType,minimumSamplePerSite,maximumSamplePerSite,purchasePrice,purchasePriceUnit,installationEffort,installationEffortUnit,upgradeInterval,upgradeIntervalUnit,maintenancePrice,maintenancePriceUnit,maintenanceEffort,maintenanceEffortUnit,samplingPrice,samplingPriceUnit,samplingEffort,samplingEffortUnit,samplingPersonnel,labAnalysisPrice,labAnalysisPriceUnit,processingRawDataEffort,processingRawDataEffortUnit,processingRawDataPersonnel,operationEffortCode,totalHumanLabor,methodsNotes,installationNotes,operationNotes
Atmosphere,SOBIO_024,prime,FALSE,sensor,vegetation aboveground biomass (SOBIO_024),Vegetation aboveground biomass – non-forested sites,Aboveground biomass – non-forested sites,"Murphy, D.J., O’Brien, B., Hennessy, D., Hurley, M. and Murphy, M.D., 2021. Evaluation of the precision of the rising plate meter for measuring compressed sward height on heterogeneous grassland swards. Precision Agriculture, 22(3), pp.922-946.",1,week,52.17857142857143,eletronic grassland platemeter,,,,euro,,day,,year,,euro,,day/year,,euro,,day/year,,,euro,,day/year,,,,,purchasePrice: under discussion,
Atmosphere,SOBIO_025,prime,FALSE,sensor,leaf area index (SOBIO_025),Leaf area index - forests (site scale),Leaf area index - forests,"ICOS, ICP F",1,year,1,"forests: digital hemispherical photography if seasonal max LAI (Green Area index) is max. < 6 m²/m², linear ceptometry if seasonal max LAI (Green Area index) is max. > 6 m²/m²",1,1,6000,euro,0.1,day,10,year,1000,euro,0.25,day/year,0,euro,1,day/year,,0,euro,1,day/year,,1,2.35,,,
Atmosphere,SOBIO_026,prime,,sensor,leaf area index (SOBIO_026),Leaf area index – non-forested sites,Leaf area index – non-forested sites,ICOS,1,year,1,linear ceptometry,1,1,20000,euro,1,day,10,year,1000,euro,0.25,day/year,0,euro,0,day/year,,0,euro,1,day/year,,1,2.25,,,
Atmosphere,SOBIO_090,prime,FALSE,retrieval,gross primary production (SOBIO_090),Gross primary production,GPP calculated vom EddyCovariance measurement,ICOS,30,minute,17532,derived from NEE (EC),1,1,0,euro,0,day,7,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,1,day/year,,2,1,,,
Atmosphere,SOBIO_091,prime,FALSE,sensor,transpiration plants (SOBIO_091),Transpiration (plants),Transpiration (plants),"proprietory manuals, sensor specific; not well established protocols",10,minute,52596,Sap flow in forests; Sap flow meters (see https://treewatch.net/); sapflow sensors (heat pulse velocity / heat ratio method); https://sapfluxnet.creaf.cat/,1,1,7000,euro,0.7,day,3,year,1000,euro,0.5,day/year,0,euro,0,day/year,,0,euro,1,day/year,,2,2.2,,,
Atmosphere,SOBIO_092,basic,TRUE,sample,aboveground litterfall (SOBIO_092),Aboveground litterfall - forests,Aboveground litterfall - forests,"ICP Forests, ICOS",1,month,12,Sampling nets,1,1,500,euro,0.2,day,5,year,50,euro,0.1,day/year,0,euro,0.1,day/year,,50,euro,1,day/year,,1,1.4,,,
Atmosphere,SOBIO_092,prime,TRUE,sample,aboveground litterfall (SOBIO_092),Aboveground litterfall - forests,Aboveground litterfall - forests,"ICP Forests, ICOS",1,month,12,Sampling nets,1,1,500,euro,0.5,day,5,year,50,euro,0.1,day/year,0,euro,1.5,day/year,,50,euro,8,day/year,,1,10.1,,,
Atmosphere,SOBIO_093,prime,FALSE,sample,belowground biomass (SOBIO_093),Belowground biomass - terrestrial,Belowground biomass - terrestrial,Literature,1,year,1,campaign and allometric equations,1,1,50,euro,4,day,20,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0.1,day/year,,1,4.1,,,
Atmosphere,SOBIO_095,prime,FALSE,sample,leaf chemical content (SOBIO_095),"Leaf C, N, K, P, Ca, Mg, Mn content - terrestrial",Leaf elements bundle -terrestrial,"ICP Forests, ICP IM",2,year,0.5,lab analysis of leaf samples; leaf sampling,1,1,0,euro,0,day,5,year,50,euro,0.1,day/year,0,euro,7,day/year,,2500,euro,0.5,day/year,,1,7.6,,,
Atmosphere,SOBIO_140,prime,FALSE,retrieval,vegetation structure (SOBIO_140),Vegetation structure - site scale,Vegetation structure,ICOS,3,year,0.3333333333333333,Terrestrial LiDAR,1,1,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,,,
Atmosphere,SOBIO_177,prime,FALSE,sensor,tree growth (SOBIO_177),Tree growth,tree growth,"ICOS, TreeNet",1,hour,8766,automated point dendrometers or band dendrometers,10,10,250,euro,1,day,5,year,250,euro,0.5,day/year,0,euro,0,day/year,,0,euro,1,day/year,,2,2.5,,,
Biosphere,SOBIO_014,basic,FALSE,sample,flying insects (SOBIO_014),Flying insects,Flying insects,Lifeplan; SPRING,2,week,10.92857,Malaise traps (biomass and DNA metabarcoding),1,1,500,euro,0.2,day,1,year,0,euro,0.5,day/year,150,euro,0.25,day/year,,100,euro,0,day/year,,1,0.95,measurementInterval: from Mid April to Mid September,,
Biosphere,SOBIO_014,prime,FALSE,sample,flying insects (SOBIO_014),Flying insects,Flying insects,Lifeplan; SPRING,2,week,17.42857,Malaise traps (biomass and DNA metabarcoding),1,1,500,euro,0.2,day,1,year,0,euro,0.5,day/year,150,euro,0.25,day/year,,100,euro,0,day/year,,1,0.95,"measurementInterval: 2-week frequency, March 1st-October 31st",,
Biosphere,SOBIO_017,basic,FALSE,sample,vegetation composition (SOBIO_017),Vegetation composition (mainly species abundance),Ground vegetation,national/site specific protocol,5,year,0.2,national/site specific protocol; exisiting protocols should be continued (legacy),3,3,60,euro,0.25,day,10,year,0,euro,0,day/year,0,euro,0.4,day/year,,0,euro,0.2,day/year,,2,0.8500000000000001,,,
Biosphere,SOBIO_017,prime,FALSE,sample,vegetation composition (SOBIO_017),Vegetation composition (mainly species level+abundance),Ground vegetation,consider ICP IM (including extended IM suplement); consider ICP IM (including extended IM supplement),3,year,0.3333333333333333,national/site specific protocol; exisiting protocols should be continued (legacy),3,3,60,euro,0.25,day,10,year,0,euro,0,day/year,0,euro,0.6,day/year,,0,euro,0.3,day/year,,2,1.15,,,
Biosphere,SOBIO_018,basic,TRUE,sensor,acoustic recording (SOBIO_018),"Birds, bats, frogs, insects using acoustic recording","Birds, bats, (frogs, insects)",Lifeplan,10,minute,30816,Audiomoth set for bats and all other taxa groups,1,3,700,euro,0.2,day,3,year,0,euro,0.5,day/year,0,euro,0.5,day/year,,0,euro,0,day/year,,1,1.2,"measurementInterval: weekly or biweekly (changing memory cards); automated measurements: daily, every 10 mins for 1 min (Lifeplan protocol) March 1st - September 30th",,
Biosphere,SOBIO_018,prime,TRUE,sensor,acoustic recording (SOBIO_018),"Birds, bats, frogs, insects using acoustic recording","Birds, bats, (frogs, insects)",Lifeplan,10,minute,30816,Audiomoth set for bats and all other taxa groups; AI based species identification,1,3,700,euro,0.2,day,3,year,0,euro,0.5,day/year,0,euro,0.5,day/year,,0,euro,0,day/year,,1,1.2,"measurementInterval: weekly or biweekly (changing memory cards); automated measurements: daily, every 10 mins for 1 min (Lifeplan protocol) March 1st - September 30th",,
Biosphere,SOBIO_019,prime,FALSE,sensor,pollen and spores (SOBIO_019),Pollen and spores,Pollen and spores,Lifeplan version,1,week,52.17857142857143,"Cyclone sampler; AI: image recognition,",1,1,4000,euro,0.2,day,10,year,0,euro,0.5,day/year,0,euro,0.5,day/year,,0,euro,0,day/year,,1,1.2,,,
Biosphere,SOBIO_021,basic,FALSE,sample,eDNA water (SOBIO_021),eDNA water,eDNA Water,eLTER RA protocol,1,year,1,eLTER eDNA water sampling kit,1,1,0,euro,0,day,0,year,0,euro,0,day/year,50,euro,0.25,day/year,,100,euro,0,day/year,,1,0.25,,,
Biosphere,SOBIO_021,prime,FALSE,sample,eDNA water (SOBIO_021),eDNA Water,eDNA Water,eLTER RA protocol,3,month,4,eLTER eDNA water sampling kit,3,3,0,euro,0,day,0,year,0,euro,0,day/year,200,euro,1,day/year,,0,euro,0,day/year,,1,1,,,
Biosphere,SOBIO_022,basic,FALSE,sample,eDNA soil (SOBIO_022),eDNA soil,eDNA soil,SOILBON protocol,1,year,1,SOILBON sampling kit,1,1,0,euro,0,day,0,year,0,euro,0,day/year,50,euro,0.25,day/year,,100,euro,0,day/year,,1,0.25,,,
Biosphere,SOBIO_022,prime,FALSE,sample,eDNA soil (SOBIO_022),eDNA soil,eDNA soil,SoilBON protocol,3,month,4,SOILBON sampling kit,3,3,0,euro,0,day,0,year,0,euro,0,day/year,200,euro,1,day/year,,0,euro,0,day/year,,1,1,,,
Biosphere,SOBIO_096,basic,FALSE,sample,chlorophyll a in water (SOBIO_096),"Chlorophyll a (benthic, pelagic) - standing, running waters","Chlorophyll a (benthic, pelagic) - standing, running waters","WFD, MSFD, for running water only if required by the WFD",1,month,12,Manual sampling and lab analysis,1,1,200,euro,0,day,10,year,0,euro,0,day/year,0,euro,0.1,day/year,,50,euro,0.3,day/year,,2,0.4,,,
Biosphere,SOBIO_096,prime,FALSE,sensor,chlorophyll a in water (SOBIO_096),"Chlorophyll a (benthic, pelagic) - standing, running waters","Chlorophyll a (benthic, pelagic) - standing, running waters","WFD, MSFD",1,hour,8766,Fluorimetric probe,1,5,3500,euro,0.2,day,5,year,400,euro,0.2,day/year,0,euro,0.1,day/year,,0,euro,0.5,day/year,,2,1,,,
Biosphere,SOHYD_172,basic,FALSE,sample,running waters nutrient concentration (SOHYD_172),"Nutrient concentration: TP, SRP, TDN, NO3 - running waters","TP, SRP, TDN, NO3,",WFD; ICP Water,1,month,12,Laboratory analysis; only during vegetation period,1,1,0,euro,0,day,0,year,100,euro,0,day/year,0,euro,1,day/year,,45,euro,0,day/year,,2,1,,,
Biosphere,SOHYD_172,prime,FALSE,sample,running waters nutrient concentration (SOHYD_172),"Nutrient concentration: TP, SRP, TDN, NO3 - running waters","TP, SRP, TDN, NO3,",,2,week,26.08928571428572,sampling and lab analysis,1,1,0,euro,0,day,0,year,100,euro,0,day/year,0,euro,2,day/year,,45,euro,0,day/year,,2,2,,,samplingPrice: 100 (vials + filters)
Biosphere,SOHYD_173,basic,FALSE,sample,standing waters nutrient concentration (SOHYD_173),"Profiles of nutrient concentration: TP, SRP, TDN, NO3, - standing waters","TP, SRP, TDN, NO3,",WFD; ICP Water,1,month,12,Laboratory analysis; only during vegetation period,1,1,0,euro,0,day,0,year,100,euro,0,day/year,0,euro,1,day/year,,135,euro,0,day/year,,2,1,,,
Biosphere,SOHYD_173,prime,FALSE,sample,standing waters nutrient concentration (SOHYD_173),"Profiles of nutrient concentration: TP, SRP, TDN, NO3, - standing waters","TP, SRP, TDN, NO3,",,2,week,26.08928571428572,sampling and lab analysis,1,1,0,euro,0,day,0,year,100,euro,0,day/year,0,euro,2,day/year,,135,euro,0,day/year,,2,2,,,samplingPrice: 100 (vials + filters)
Geosphere,SOGEO_001,basic,FALSE,sample | retrieval,soil inventory – pedological/geological characterization (SOGEO_001),Soil inventory – pedological/geological characterization,"soil texture, particle size distribution, soil pH, CEC and BS, bulk density , organic matter, soil type classification, geological site characterization - one-time measurement (per horizon)",ICOS/ICP Integrated Monitoring/ICP Forests,1,once,,"All information which can be taken form already available soil profile descriptions or soil maps with sufficient resolution (lt 1:50.000), SO variables that cannot be derived from these data are not mandatory for the Cat2-sites",1,1,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,1,day/year,scientist,0,euro,0,day/year,,0,1,"measurementInterval: once, initial",,
Geosphere,SOGEO_001,prime,FALSE,sample,soil inventory – pedological/geological characterization (SOGEO_001),Soil inventory – pedological/geological characterization,"soil texture, particle size distribution, soil pH, CEC and BS, bulk density , organic matter, soil type classification, geological site characterization - one-time measurement (per horizon)",ICOS/ICP Integrated Monitoring/ICP Forests; ICP Forests,1,once,,,1,1,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,3,day/year,scientist,2000,euro,5,day/year,,0,8,"measurementInterval: once, initial",,samplingEffort: 3 day soil scientist
Geosphere,SOGEO_003,basic,FALSE,sample,soil chemical and physical characteristics (SOGEO_003),Soil chemical and physical characteristics,"Total organic C (TOC), CEC Total nitrogen, total phosphorus, plant available P, pH, soil base saturation; by horizon; upper and lower limit of the horizon",ICP FORESTS or ICP IM;,10,year,0.1,"manual sampling, spatially mixed sample",1,1,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0.1,day/year,scientist,200,euro,0.1,day/year,scientist,0,0.2,,,
Geosphere,SOGEO_003,prime,FALSE,sample,soil chemical and physical characteristics (SOGEO_003),Soil chemical and physical characteristics,"Total organic C (TOC), CEC Total nitrogen, total phosphorus, plant available P, pH, soil base saturation; by horizon; upper and lower limit of the horizon",ICOS/ICP Forests;,5,year,0.2,"Manual sampling; Manual sampling and laboratory analyses, Quantitative, in addition to soil flux chamber measurements",1,1,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0.2,day/year,scientist,200,euro,0.2,day/year,,0,0.4,minimumSamplePerSite: 1 profile with 5 horizons,,samplingEffort: 0.2 day soil scientist (1 day/every 5 years)
Geosphere,SOGEO_048,basic,FALSE,modelling,soil percolation/infiltration (SOGEO_048),percolation/infiltration - soil,infiltration rate - soil,ICP Integrated Monitoring,1,once,,can be done by modelling,1,1,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,2,day/year,scientist,1,2,"measurementInterval: once, initial",,processingRawDataEffort: 1 soil scientist (modelling based on soil physical properties measured by SOGEO_001)
Geosphere,SOGEO_048,prime,FALSE,sample,soil percolation/infiltration (SOGEO_048),percolation/infiltration - soil,infiltration rate - soil,ICP Integrated Monitoring,1,once,,Ring-infiltrometer,1,1,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,2,day/year,,0,euro,0.5,day/year,,1,2.5,"measurementInterval: similar to SOGEO_001, once, one-time initial measurement using e.g. ring infiltrometers, only for sites with expected variability of soil hydraulic conductivity (e.g. man-made vegetated habitats) a higher frequency might be required (e.g. related to soil cultivation)",,
Geosphere,SOGEO_155,basic,TRUE,sample,aquatic sediment inventory (SOGEO_155),Sediment (aquatic and marine) inventory,"physical and chemical characterization (particle size distribution, composition, pH, carbon, sulfur)","ICOS, standard methods",1,once,,sampling and lab analysis,1,1,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0.5,day/year,technician,50,euro,0.5,day/year,technician,0,1,measurementInterval: only initial for habitat characterization,,processingRawDataEffort: 0.5 day / technician
Geosphere,SOGEO_155,prime,TRUE,sample,aquatic sediment inventory (SOGEO_155),Sediment (aquatic and marine) inventory,"physical and chemical characterization (particle size distribution, composition, pH, carbon, sulfur)","ICOS, standard methods",1,once,,sampling and lab analysis,1,1,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0.1,day/year,,100,euro,0.2,day/year,,0,0.30000000000000004,"measurementInterval: only initial for habitat characterization, similar to soil inventory a more frequent acquisistion is potentially neccessary",,samplingEffort: 0.1 (one-time initial measurement at the beginning of the eLTER period)
Geosphere,SOGEO_167,prime,FALSE,sample,soil water chemical characteristics (SOGEO_167),Soil water chemical characteristics,"soil water pH; soil water concentration per horizon: NH4-N, NO3-N, DON, DOC, Cation, Anion","ICP Forest, ICP Integrated Monitoring",1,month,12,Ceramic suction lysimeter + probe; zero tention or tention lysimeter and determination in lab,3,3,500,euro,2,day,5,year,200,euro,4,day/year,0,euro,4,day/year,,69,euro,0.5,day/year,,2,10.5,minimumSamplePerSite: 3 profiles in at minimum 3 depths,upgradeInterval: 5 years +,maintenancePrice: 200 / year
Hydrosphere,SOHYD_004,basic,FALSE,sample | sensor,standing water physical and chemical characteristics (SOHYD_004),Profiles of physical and chemical waters characteristics - surface water (standing),"lakes, lagoons, reservoirs - water temperature, pH, EC, turbidity, oxygen, water depth",ICP Waters; ICP WATERS; Lower the sensor through the water column and record O2 at the surface and every .5m; https://helcom.fi/media/publications/Guidelines-for-measuring-Secchi-depth.pdf;,1,month,12,CTD probe + lab analysis,1,1,1000,euro,0,day,10,year,0,euro,0,day/year,0,euro,0.5,day/year,,120,euro,0.5,day/year,,1,1,,,
Hydrosphere,SOHYD_004,prime,FALSE,sensor,standing water physical and chemical characteristics (SOHYD_004),Profiles of physical and chemical waters characteristics - surface water (standing),"lakes, lagoons, reservoirs - water temperature, pH, EC, turbidity, oxygen, water depth",TERENO + FINMARI,2,hour,4383,"Probe comparable or better (signal-noise ration) than YSI 600 R, YSI 600 OMS, YSI 6820 V2 (Yellow Springs Instruments, USA)",1,1,75000,euro,1,day,10,year,5000,euro,6,day/year,0,euro,0,day/year,,0,euro,5,day/year,,2,12,measurementInterval: 2 hour (see remark regarding deeper lakes),"purchasePrice: 25,000 multiparamet er probe + 50,000 profiler setup",
Hydrosphere,SOHYD_005,basic,FALSE,sample | sensor,physical and chemical water (SOHYD_005),Physical and chemical water characteristics - surface water (running waters),"water temperature, pH, EC, turbidity, oxygen, NO3, SAC 254, water level",ICP Waters,1,month,12,"manual measurement: sampling and lab analyses + CTD; O2, EC can be measured on site by using dedicated sensors but can be measured in the laboratory too.",1,1,500,euro,0,day,10,year,0,euro,0,day/year,0,euro,0.5,day/year,,120,euro,0.5,day/year,,0,1,,,
Hydrosphere,SOHYD_005,prime,FALSE,sensor,physical and chemical water (SOHYD_005),Physical and chemical water characteristics - surface water (running waters),"water temperature, pH, EC, turbidity, oxygen, NO3, SAC 254, water level",TERENO + FINMARI (ICP Water needs to be checked),15,minute,35064,"Comparable or equal to combination of Multiparameter probe: YSI 600 R, YSI 600 OMS, YSI 6820 V2 (Yellow Springs Instruments, USA)+ Optical sensor (light extinction at specific wave length in the UV range): TRIOS ProPS-UV, TRIOS OPUS (TriOS Mess- und Datentechnik; measurement of elevation and water depths at two points, submersible vented pressure tranducers",1,1,30000,euro,0.5,day,10,year,1500,euro,6,day/year,0,euro,0,day/year,,0,euro,5,day/year,,1,11.5,,,
Hydrosphere,SOHYD_006,basic,FALSE,sensor,physical and chemical water (SOHYD_006),Physical and chemical water characteristics - groundwater,"water temperature, hydraulic head, oxygen, electrical conductivity",TERENO,1,month,12,CTD-probe (handheld),1,1,4000,euro,0.5,day,10,year,0,euro,0,day/year,0,euro,0.5,day/year,,0,euro,0.5,day/year,,0,1.5,,"purchasePrice: 500 for the sensor, 2.000 - 5.000/well depending on site conditions. upgradeInterval: 10 for the sensor",
Hydrosphere,SOHYD_006,prime,FALSE,sensor,physical and chemical water (SOHYD_006),Physical and chemical water characteristics - groundwater,"water temperature, hydraulic head, oxygen, electrical conductivity",protocol needs to describe automated measurement. Suggestion to follow ICOS (Instructions for Water Table Depth Measurements and Op de Beeck et al.'protocol soil-meteorological variables),1,hour,8766,"multiparameter probe (water level, temperature, EC), oxygen sensor",5,5,27500,euro,2.5,day,10,year,200,euro,2,day/year,0,euro,0,day/year,,0,euro,5,day/year,,2,9.5,,purchasePrice: 5.500/well,processingRawDataEffort: 10 days; Depends on what the end product needs to be (see WATINA - in Dutch): real time data transfer? Semi-real time?
Hydrosphere,SOHYD_010,basic,FALSE,retrieval,water level in running waters (SOHYD_010),water level - surface water (running water),water level (in order to derive river/stream discharge),ICP Waters,1,month,12,"monthly values are available from SOHYD_005. For higher frequency: application of hydrological model (central service, to be discussed) resp. provision of data from national monitoring programs (nearby stations);",,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,,,
Hydrosphere,SOHYD_010,prime,FALSE,sensor,water level in running waters (SOHYD_010),water level - surface water (running water),water level (in order to derive river/stream discharge),WMO: https://library.wmo.int/doc_num.php?explnum_id=10473,15,minute,35064,automated water level measurement using CTD or comparable,1,1,1000,euro,0.5,day,5,year,200,euro,2,day/year,0,euro,0,day/year,,0,euro,2,day/year,,1,4.5,,"purchasePrice: 1000, + costs for ADCP calibration (stage-discharge relationship), suggestion to provide ADCP via central service",
